LINK,NAME OF EVENT,DATE
https://www.mofad.org/calendar/my-soul-looks-back-jessica-harris-in-conversation-with-scott-barton,My Soul Looks Back: Jessica Harris In Conversation with Scott Barton,"Thursday, May 18, 2017"
https://www.mofad.org/calendar/food-is-culture-kids-kimchi-workshop,Food Is Culture: Kids Kimchi Workshop,"Saturday, May 20, 2017"
https://www.mofad.org/calendar/the-vodka-contract-rediscovering-vodka-in-the-heart-of-polish-brooklyn,The Vodka Contract: Rediscovering Vodka in the Heart of Polish Brooklyn,"Thursday, May 25, 2017"
https://www.mofad.org/calendar/discovering-taiwanese-tea,Discovering Taiwanese Tea,"Thursday, June 8, 2017"
https://www.mofad.org/calendar/spring-spirits-the-wonders-of-peruvian-pisco,Spring Spirits: The Wonders of Peruvian Pisco,"Thursday, June 22, 2017"
https://www.mofad.org/calendar/food-is-culture-kids-br-education-workshop-with-hot-bread-kitchen,Food Is Culture: Kids Br-education Workshop with Hot Bread Kitchen,"Saturday, June 24, 2017"
https://www.mofad.org/calendar/spring-spirits-rums-of-the-world,Spring Spirits: Rums of the World,"Thursday, June 29, 2017"
https://www.mofad.org/calendar/m88ypxxnhsfecn3f3zrcjtj75td6de,MOFAD @ Night,"Friday, June 30, 2017"
https://www.mofad.org/calendar/mofad-night-cancelled,MOFAD @ Night - *CANCELLED*,"Friday, July 14, 2017"
https://www.mofad.org/calendar/the-wok-in-america-with-grace-young,The Wok in America with Grace Young,"Tuesday, July 18, 2017"
https://www.mofad.org/calendar/american-food-and-immigration-policy-past-present-and-future,"American Food and Immigration Policy: Past, Present, and Future","Thursday, July 20, 2017"
https://www.mofad.org/calendar/1-minute-meal-stories-of-food-and-community-in-new-york,1 Minute Meal: Stories of Food and Community in New York,"Thursday, July 27, 2017"
https://www.mofad.org/calendar/lust-brains-and-taste,"Lust, Brains, and Taste","Thursday, August 3, 2017"
https://www.mofad.org/calendar/the-trip-to-spain-advanced-film-screening,The Trip to Spain: Advanced Film Screening,"Thursday, August 10, 2017"
https://www.mofad.org/calendar/california-vs-new-york-wine-tasting,California vs. New York Wine Tasting,"Tuesday, August 15, 2017"
https://www.mofad.org/calendar/hawaii-cuisine-beyond-pineapples-with-chef-sheldon-simeon,Hawaii Cuisine: Beyond Pineapples with Chef Sheldon Simeon,"Thursday, August 17, 2017"
https://www.mofad.org/calendar/jsnt5rl36mwaepgtakmj59dycbx8st,MOFAD @ Night,"Friday, August 18, 2017"
https://www.mofad.org/calendar/mofad-food-trivia-night-2-z2xsp,MOFAD Food Trivia Night ,"Tuesday, August 22, 2017"
https://www.mofad.org/calendar/from-sprinkles-to-sundaes-the-evolution-of-ice-cream-in-america,From Sprinkles to Sundaes: The Evolution of Ice Cream in America,"Thursday, August 31, 2017"
https://www.mofad.org/calendar/milk-and-microbes-reinventing-the-wheel-with-bronwen-and-francis-percival,Milk and Microbes: Reinventing the Wheel with Bronwen and Francis Percival,"Friday, September 8, 2017"
https://www.mofad.org/calendar/88lh3zjzp5esl5kr8x9g8yxsy2h4h4,MOFAD @ Night,"Friday, September 15, 2017"
https://www.mofad.org/calendar/mofad-food-trivia-night-2,MOFAD Food Trivia Night,"Tuesday, September 26, 2017"
https://www.mofad.org/calendar/the-art-of-flavor-with-chef-daniel-patterson-and-mandy-aftel,The Art of Flavor with Chef Daniel Patterson and Mandy Aftel,"Tuesday, October 3, 2017"
https://www.mofad.org/calendar/modernist-breadcrumbs-live-nathan-myhrvold-in-conversation-with-michael-harlan-turkell,Modernist BreadCrumbs Live: Nathan Myhrvold in Conversation with Michael Harlan Turkell,"Wednesday, October 4, 2017"
https://www.mofad.org/calendar/naturally-curious-education-and-tasting-of-natural-wines,Naturally Curious: Education and Tasting of Natural Wines,"Tuesday, October 10, 2017"
