LINK,NAME_OF_EVENT,DATE
https://www.buys.hk/rchk/html/top-combater-2022-checkout-en.html,Top Combater workshop,"Su Sa , Aug 06 - Jan 01, 2 pm - 6:15 pm"
https://www.buys.hk/rchk/html/ritz-kids-summer-fun-2022-checkout-en.html,RITZ KIDS MAGIC WORKSHOP,"Su Sa , Aug 13 - Jan 01, 10:30 am - 12 pm"
https://www.buys.hk/rchk/html/ritz-kids-scavenger-hunt-checkout-en.html%20%20-hong-kong,Ritz Kids  Scavenger Hunt,"daily, Nov 01 - Jan 31, None"
https://www.buys.hk/rchk/html/gingerbread-house-making-workshop-checkout-en.html,Gingerbread House Making Workshop,"daily, Dec 18 - Dec 24, 3:30 pm - 5 pm"
https://www.ritzcarlton.com/en/hotels/china/hong-kong/dining/tin-lung-heen/more/dining-events,Tin Lung Heen Dim Sum Workshop,"Mo - Fr , None, 10 am - 11:30 am"
https://www.ritzcarlton.com/en/hotels/china/hong-kong/dining/ozone/more/dining-events,Ozone Mixology Class,"Su Sa , None, 4 pm - 6 pm"
https://s7d2.scene7.com/is/content/ritzcarlton/0917_Instagrammable_Hotel_Tourpdf,Instagrammable Hotel Tour,"daily, None, None"
None,Seafood and Pasta Workshop,"Su Sa , None, 4 pm - 5:30 pm"
https://www.ritzcarltonhkshop.com/en/wine-experiences,Wine Experience,"Su We - Sa , None, 1 pm - 4 pm"
