LINK,NAME OF EVENT,DATE
https://www.louvre.fr/en/what-s-on/exhibitions/16th-century-bolognese-drawings-in-the-louvre-collections,16th-century bolognese drawings in the Louvre collections,22 September 2022 – 16 January 2023
https://www.louvre.fr/en/what-s-on/exhibitions/things,Things A History of Still Life,12 October 2022 – 23 January 2023
https://www.louvre.fr/en/what-s-on/exhibitions/the-splendours-of-uzbekistan-s-oases,The splendours of Uzbekistan's oases,23 November 2022 – 6 March 2023
